,0,1,2
0,13.465586,0.41935128,-9.209119
1,-12.127863,-8.159146,8.628983
2,-22.650257,-14.65798,13.310396
3,-12.82935,5.1984377,-29.340061
4,-4.0815377,-2.5561154,-6.3216157
5,0.17023094,-4.228974,21.094717
6,-0.35788587,-16.535059,-17.092424
7,-12.1840105,-2.471425,-11.43656
8,-9.936345,10.798435,-28.028055
9,-11.512103,-10.000086,-11.083695
10,-19.570736,-17.416447,12.706953
11,-1.2695614,0.14214508,11.194071
12,-1.7130091,-2.6723554,-19.385143
13,-0.7263124,-13.075268,0.7220434
14,-0.8457697,-13.705014,7.739806
15,-24.575909,-16.611298,3.9089575
16,-23.183647,-5.9432483,-6.074527
17,-8.507008,-19.562597,3.3767624
18,14.576845,24.55158,6.3339596
19,-0.72237396,4.2069902,3.9350455
20,3.8070629,8.747349,9.565871
21,25.971392,-4.644249,-19.454708
22,6.839768,1.3228313,6.8835826
23,11.768878,-20.33887,14.391175
24,-9.14127,-1.6806555,9.244942
25,12.241301,-26.330091,-5.55965
26,-7.35748,23.606524,0.3195035
27,-11.276316,22.784376,2.178053
28,13.149306,-18.24651,-23.015118
29,8.006081,22.477158,7.4121842
30,-7.349105,-26.048296,-12.879588
31,3.6556523,0.5690883,-2.122059
32,-15.718317,-6.292422,16.743359
33,17.64353,-5.167231,-26.252113
34,3.7464259,-0.91145915,2.422438
35,17.025032,-19.086704,-2.1019864
36,10.111401,3.2559185,-1.7182866
37,-4.65703,12.966382,-22.931112
38,-1.8611867,-23.337553,-21.776575
39,-3.251972,-15.073343,21.473644
40,8.854479,-20.330572,-19.394596
41,-18.229223,-19.528543,12.711958
42,-5.5260134,2.182493,4.7241054
43,-10.212726,-22.952408,13.229149
44,-11.886206,4.9717407,-0.9355592
45,10.447039,-29.319717,0.33861202
46,20.888826,-9.923036,23.05503
47,-3.2853305,8.649103,0.56329787
48,-11.330503,-1.363042,-0.61432403
49,-8.507008,-19.562597,3.3767624
50,-10.195888,-8.820744,9.131279
51,-5.322296,-12.335675,-6.3293223
52,-10.317892,-4.001537,-21.868076
53,-19.479685,-14.195925,1.319242
54,12.151914,-19.568575,19.877235
55,-11.77728,17.584127,10.741705
56,-14.310789,9.131127,13.069136
57,7.109925,2.6837275,-28.539658
58,6.7277055,8.74953,-10.987471
59,15.914582,-6.6144824,26.47457
60,5.155401,-3.1936815,14.960134
61,-3.251972,-15.073343,21.473644
62,-7.823697,-2.8688858,0.7138345
63,-15.164485,6.983406,-15.12024
64,-3.5411425,0.79943556,13.319471
65,-1.2815967,-2.648671,-4.4444976
66,23.617285,-2.9468586,-14.197894
67,-10.027432,3.6464674,8.188444
68,-16.516449,1.7879217,-13.911743
69,-12.646767,7.5095253,2.859873
70,3.2505221,19.101515,-25.225645
71,-26.522264,10.949805,-8.12527
72,-10.494338,-13.388675,8.353058
73,-13.39269,-4.5910187,-11.787218
74,-15.219609,16.259047,-1.905812
75,-9.96451,2.1856544,-15.407216
76,-3.1858733,15.158347,-2.7101867
77,23.895304,-9.288556,6.732298
78,-24.44688,7.0552287,2.8360178
79,18.452013,2.531505,20.17305
80,18.877142,-17.382286,-6.637214
81,-9.673539,22.301615,7.425671
82,-7.8484683,-6.613607,17.136272
83,-3.911996,-18.657206,-10.346004
84,7.841901,2.7110913,4.8191133
85,15.3997345,23.138735,12.054434
86,16.02512,13.811345,21.41344
87,22.378407,-17.180166,-3.1005573
88,4.1518354,-28.451393,0.58280516
89,-19.839693,23.95695,5.551336
90,3.1123512,-6.469585,-12.324474
91,-13.462308,12.702243,-4.17177
92,-10.4233885,10.373629,0.42581645
93,7.918152,-2.1040518,23.010576
94,-4.1751876,-24.517792,13.5332365
95,24.983496,-5.5895295,1.6438943
96,-17.61599,-23.447945,11.675209
97,-0.6735996,21.624935,-6.6837645
98,-11.573462,6.397621,11.472332
99,24.464985,-9.439527,-11.024436
100,-29.556349,-4.727012,0.20790926
101,6.839768,1.3228313,6.8835826
102,-0.06142244,-8.689646,-17.140442
103,-5.171603,-4.722091,0.3245699
104,-14.28841,-2.7714467,-10.642409
105,15.0347595,17.289879,-1.1281283
106,-18.587337,18.608038,0.549379
107,18.452011,2.5315099,20.173069
108,-2.2720504,12.13889,6.5749273
109,-2.3542407,-0.8914866,-8.129388
110,-12.958459,-4.334311,26.215498
111,7.918152,-2.1040518,23.010576
112,18.265064,-15.085256,-21.397335
113,9.002875,28.407879,8.376058
114,-12.545877,-10.146075,6.3550196
115,-19.876486,-18.064325,-16.685957
116,19.37142,2.3559618,-16.74691
117,-1.6106656,12.236277,15.578753
118,11.009878,-4.5348277,-19.946808
119,-27.860546,16.850033,-6.8222427
120,3.7490005,-6.298243,-10.087516
121,-19.521992,-11.560778,25.271242
122,-19.615057,19.338226,-14.92397
123,5.5324225,3.6507516,-12.943519
124,18.629103,-13.28669,10.63811
125,-2.025755,-7.3926086,-23.280474
126,3.3026288,-28.662477,0.8775313
127,-2.025755,-7.3926086,-23.280474
128,13.636129,-22.523989,-8.332452
129,-10.921927,9.306462,15.5255165
130,-4.6191454,-9.730313,20.728777
131,1.1551011,-21.45454,-7.7607894
132,4.9477477,-14.239365,14.717469
133,-10.252704,-13.984243,-0.79963076
134,0.90107423,-13.507249,-20.429604
135,-25.264866,-14.609519,-11.752562
136,-17.093582,-1.1188987,21.916748
137,19.971514,1.7284759,6.703538
138,8.981019,-21.668747,2.6470675
139,21.270403,15.700711,15.266495
140,-21.393469,-12.368193,-5.416227
141,-3.7844932,13.560482,27.735205
142,-12.546186,-10.149884,6.3548694
143,13.704856,21.65049,17.63219
144,-23.609426,-12.822289,5.0382843
145,2.0235963,-4.885405,-10.88634
146,3.8550491,1.59892,-5.363668
147,3.765935,-8.458832,-22.450356
148,-16.377268,-28.254822,2.1257105
149,19.140411,11.754943,18.545557
150,20.953276,4.261167,11.088949
151,11.620985,-13.154349,18.252762
152,17.39644,-0.58817416,14.782889
153,4.6363506,10.02195,-6.9390936
154,-23.027355,-3.540258,-22.087162
155,2.086272,-14.776896,-8.846986
156,-1.2367786,-15.006899,-7.331748
157,0.34082133,-12.294427,8.456692
158,10.198217,15.279564,17.695887
159,14.876529,-4.2426496,-25.104986
160,16.874235,3.2397687,10.581474
161,-4.2836123,-15.235178,-17.390093
162,5.121062,2.2760136,28.503986
163,-15.283731,-10.828041,4.4903035
164,11.05852,4.275887,29.305828
165,-11.590403,1.7959906,-5.319611
166,-31.55356,-0.18592837,8.501579
167,11.139037,-14.641921,-14.942704
168,-8.507008,-19.562597,3.3767624
169,-20.48356,-22.531563,-8.982542
170,19.99542,-1.1511475,-20.925
171,-3.3945343,-23.753002,2.5043585
172,-14.338918,15.755393,24.865307
173,12.967757,-15.173312,1.2706523
174,-10.549463,22.762922,1.7922179
175,12.112808,-8.845267,-3.9694772
176,6.310629,0.8893063,-0.61248857
177,7.5338306,-24.5518,-1.5224363
178,-15.477284,-8.404355,3.1604574
179,1.9181765,16.689165,-4.3676324
180,-14.9071045,21.365513,6.9799232
181,-3.5193427,-31.777119,-1.6822621
182,22.369856,-17.181288,-3.099405
183,-20.61879,-12.111601,11.483164
184,24.493788,-18.647545,7.830126
185,10.086617,-10.8216095,-1.3740809
186,16.312292,9.207787,13.606967
187,12.967757,-15.173312,1.2706523
188,23.953314,1.8074841,19.574654
189,-12.395589,-9.508561,-10.437408
190,23.953314,1.8074841,19.574654
191,11.463265,4.156559,-3.4572043
192,-8.232079,8.907629,-0.45045462
193,-10.578303,-4.3578167,-21.283434
194,4.7001534,16.76229,15.055946
195,-0.6451657,-19.269146,-6.631455
196,-4.178996,5.6536603,-2.6098497
197,-28.491093,-10.567342,4.120638
198,28.70715,-10.210357,6.0791984
199,13.415405,1.5670344,-21.184685
200,18.62751,-13.286416,10.640514
201,-5.744237,4.069041,11.743326
202,0.34082133,-12.294427,8.456692
203,-25.789732,4.028696,19.240519
204,-19.857357,15.74598,-19.393517
205,-11.073099,24.818817,-5.169102
206,8.092575,-16.554083,15.630329
207,9.915073,-9.298184,-15.71791
208,-15.631809,-5.122402,8.476816
209,20.02752,19.367495,7.848997
